feature,Baruch_2021,Davar_2021,Frankel_2017,Gopalakrishnan_2019,Lee_2022,Matson_2019,Spencer_2021,mean
K01184,0.0,0.0,0.0,0.0,0.008306106500992937,0.007907864348327315,0.007262988826602423,0.0033538513822746682
K03653,0.0,0.023085565762131246,0.00023278976014043463,0.0,0.0,0.0,0.0,0.0033311936460388115
K11021,0.0,0.00043305131959832426,0.0,0.016154513975335173,0.0005620535760044545,0.005444958218199851,0.0007204118645134297,0.0033307127076644617
K06876,0.0,0.0025728044126887427,0.0,0.0,0.000195119391253223,0.0016209937072693035,0.01889032379212343,0.003325605900476386
K07465,0.0,0.0,0.023244417419242748,0.0,0.0,0.0,0.0,0.003320631059891821
K19148,0.0,0.00023426515942883555,0.0011276663339612409,0.010831676703893902,1.6553822564123862e-05,0.0,0.009870404632499141,0.0031543666646210345
K01318,0.0,0.0,0.014640960074521344,0.0,0.0014893279786162338,0.0,0.005809317089523522,0.003134229306094443
K14162,0.0,0.0,0.020359864831163577,0.0,0.0015234905316769967,1.1740811330173293e-05,0.0,0.0031278708820243924
K07178,0.0,0.00264729380172092,0.0,0.0,4.3486135943586354e-05,0.0190383950372395,5.930638531818961e-06,0.003105015087633689
K10211,0.0,0.0,0.009000091646057673,0.0,0.012578832250259069,0.0,0.0,0.003082703413759535
K01501,0.0,0.0,0.0036201770461043725,0.01206780598937142,0.0005086782558957381,0.0005090152292102362,0.004348222812507457,0.0030076999047270315
K13281,0.0,0.0,0.015251454022689872,0.0,0.0004911573162933007,0.0012157421408953168,0.0038663060432771235,0.0029749513604508016
K22133,0.0,0.0,0.0059781685460967605,0.0,0.00460091641624644,0.004352718628173946,0.005607839346106216,0.002934234705231909
K20267,0.0,0.0,0.005126020214421209,0.0010773765246203024,0.0004339527576289603,0.0,0.013584387262680424,0.002888819537050128
K01569,0.006342067868757195,0.0,0.002149500414390315,0.0,0.005066640311563656,0.006024505599523519,0.0,0.0027975305991763838
K20482,0.0,0.0,0.018678219179126442,0.0,0.0,3.2031890780286365e-05,0.0005595549820306843,0.0027528294359910584
